cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,No,45.0,47.0,44.0,43.0,41.0,220.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,49.0,47.0,45.0,35.0,35.0,209.0,Sin acceso
SANTANDER,MALAGA,SANTANDER,SANTANDER,Si,No,52.0,54.0,52.0,62.0,56.0,278.0,Solo computador
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,No,63.0,60.0,56.0,60.0,48.0,288.0,Solo computador
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,No,63.0,60.0,56.0,60.0,48.0,288.0,Solo computador
SANTANDER,EL CARMEN,SANTANDER,SANTANDER,Si,No,53.0,42.0,43.0,59.0,61.0,265.0,Solo computador
SANTANDER,MALAGA,SANTANDER,SANTANDER,Si,No,31.0,34.0,52.0,41.0,38.0,186.0,Solo computador
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,62.0,57.0,63.0,68.0,63.0,313.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,56.0,66.0,54.0,57.0,64.0,302.0,Sin acceso
SANTANDER,MOGOTES,SANTANDER,SANTANDER,Si,No,63.0,44.0,40.0,43.0,29.0,222.0,Solo computador
SANTANDER,MOGOTES,SANTANDER,SANTANDER,Si,No,63.0,44.0,40.0,43.0,29.0,222.0,Solo computador
SANTANDER,VELEZ,SANTANDER,SANTANDER,Si,Si,57.0,44.0,50.0,45.0,37.0,230.0,Computador + internet
SANTANDER,VELEZ,SANTANDER,SANTANDER,Si,Si,57.0,44.0,50.0,45.0,37.0,230.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,36.0,53.0,40.0,43.0,36.0,209.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,36.0,53.0,40.0,43.0,36.0,209.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,No,44.0,36.0,48.0,39.0,40.0,202.0,Solo computador
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,53.0,63.0,73.0,49.0,53.0,280.0,Sin acceso
SANTANDER,CONTRATACION,SANTANDER,SANTANDER,No,No,68.0,65.0,62.0,60.0,63.0,319.0,Sin acceso
SANTANDER,CERRITO,SANTANDER,SANTANDER,No,No,44.0,54.0,51.0,55.0,52.0,256.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,63.0,67.0,59.0,57.0,56.0,303.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,63.0,67.0,59.0,57.0,56.0,303.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,No,64.0,64.0,60.0,61.0,73.0,325.0,Solo computador
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,50.0,48.0,53.0,51.0,48.0,248.0,Computador + internet
SANTANDER,CIMITARRA,SANTANDER,SANTANDER,Si,No,51.0,42.0,43.0,47.0,37.0,221.0,Solo computador
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,44.0,46.0,57.0,45.0,52.0,238.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,52.0,61.0,57.0,57.0,55.0,282.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,70.0,61.0,80.0,56.0,68.0,325.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,55.0,49.0,55.0,63.0,289.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,62.0,64.0,50.0,58.0,43.0,281.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,No,59.0,56.0,51.0,46.0,53.0,267.0,Sin acceso
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,No,39.0,35.0,44.0,41.0,31.0,185.0,Sin acceso
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,39.0,40.0,45.0,40.0,44.0,205.0,Sin acceso
SANTANDER,SAN ANDRES,SANTANDER,SANTANDER,No,No,46.0,53.0,50.0,49.0,52.0,250.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,38.0,60.0,48.0,31.0,224.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,38.0,60.0,48.0,31.0,224.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,No,28.0,41.0,42.0,36.0,35.0,178.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,49.0,38.0,50.0,39.0,35.0,205.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,No,No,53.0,58.0,57.0,50.0,39.0,253.0,Sin acceso
SANTANDER,CIMITARRA,SANTANDER,SANTANDER,Si,No,67.0,47.0,50.0,62.0,53.0,283.0,Solo computador
SANTANDER,SABANA DE TORRES,SANTANDER,SANTANDER,Si,No,37.0,43.0,63.0,40.0,47.0,217.0,Solo computador
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,No,No,32.0,43.0,52.0,44.0,42.0,206.0,Sin acceso
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,48.0,47.0,48.0,52.0,44.0,239.0,Computador + internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,48.0,47.0,48.0,52.0,44.0,239.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,48.0,49.0,50.0,45.0,31.0,219.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,85.0,74.0,100.0,100.0,78.0,427.0,Computador + internet
